Output for File: data/Communities and Crime Normalized/communities.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  
x10:  -0.21 -0.12 -0.24  0.02  0.00  0.16  0.47 -0.07 -0.44  0.27  1.00  0.15  0.21  0.09 -0.23  0.15  0.04 -0.14  0.02  0.08 -0.42 -0.16  0.42 -0.26 -0.20 -0.24 -0.20 -0.06 -0.01 -0.11 -0.10 -0.24  0.20  0.31  0.54  0.46 -0.26  0.43 -0.14 -0.05 -0.24  0.21 -0.29  0.06  0.17  0.18  0.12  0.61 -0.14 -0.21 -0.14 -0.11 -0.28 -0.40  0.14  0.24  0.38  0.09  0.14  0.18  0.26  0.63  0.65  0.66  0.68 -0.89  0.89  0.76  0.75  0.51  0.42  0.64 -0.33  0.88  0.33 -0.29  0.10 -0.08 -0.26  0.16 -0.16  0.09  0.27  0.37  0.08  0.09  0.08  0.07  0.06  0.06  0.03  0.29  0.34 -0.11  0.11  0.16  0.68 -0.26 -0.17  0.01  0.00  0.10  0.08  0.13  0.09  0.12  0.10  0.15  0.08  0.13  0.08  0.04  0.39  0.14  0.24  0.10  0.13  0.17  0.01  0.37  0.08  0.10  0.12  0.14  0.12  0.13  0.11  0.18 
x11:   0.10  0.02 -0.14 -0.02  0.00  0.01  0.52  0.12 -0.19 -0.03  0.15  1.00  0.82  0.89 -0.41 -0.02 -0.24 -0.30  0.12  0.27 -0.28 -0.26  0.21 -0.31 -0.27 -0.41 -0.38 -0.28 -0.16 -0.27 -0.17 -0.31  0.09  0.50  0.17  0.12  0.02  0.27 -0.19 -0.11  0.35  0.11 -0.11 -0.21  0.56 -0.13 -0.17  0.30 -0.14 -0.15 -0.17 -0.12 -0.01 -0.05  0.03  0.19 -0.01  0.38  0.38  0.36  0.34  0.07  0.05  0.04  0.02 -0.05  0.08  0.27  0.27  0.23  0.23  0.27 -0.27  0.22  0.02 -0.08 -0.05  0.03 -0.26  0.12  0.04  0.10  0.28  0.17 -0.26 -0.25 -0.24 -0.30 -0.30 -0.29 -0.31  0.27 -0.17 -0.12 -0.01 -0.02 -0.07  0.08 -0.36 -0.36 -0.15 -0.01 -0.04 -0.01 -0.04 -0.01 -0.03  0.00 -0.04 -0.03 -0.04  0.04  0.03 -0.02  0.05 -0.01 -0.01  0.00  0.03 -0.10 -0.17 -0.01 -0.02 -0.01  0.00  0.00 -0.06  0.05 
x12:   0.04  0.03 -0.13 -0.01  0.01  0.13  0.37  0.15 -0.27  0.10  0.21  0.82  1.00  0.93 -0.52  0.11 -0.09 -0.34  0.26  0.12 -0.36 -0.42  0.19 -0.42 -0.31 -0.41 -0.38 -0.26 -0.15 -0.33 -0.15 -0.32  0.18  0.45  0.15  0.10  0.00  0.23  0.01 -0.10  0.22  0.10 -0.16 -0.01  0.76  0.07  0.03  0.21 -0.26 -0.25 -0.21 -0.25  0.08  0.03  0.13  0.30  0.11  0.48  0.50  0.50  0.49  0.25  0.24  0.21  0.20 -0.15  0.18  0.26  0.22  0.08  0.14  0.20 -0.58  0.30  0.31 -0.30  0.07  0.02 -0.59  0.10 -0.15  0.08  0.22  0.15 -0.18 -0.18 -0.18 -0.16 -0.19 -0.19 -0.22  0.27 -0.02 -0.09  0.10  0.07  0.08 -0.05 -0.56 -0.51 -0.32  0.06  0.05  0.11  0.07  0.07  0.07  0.12  0.05  0.09  0.10  0.11  0.09  0.06  0.12  0.07  0.12  0.10  0.06  0.12 -0.02  0.08  0.06  0.12  0.09  0.12  0.04  0.09 
x13:   0.05  0.05 -0.09 -0.02 -0.01  0.08  0.30  0.13 -0.18  0.05  0.09  0.89  0.93  1.00 -0.32  0.05 -0.14 -0.33  0.10  0.14 -0.22 -0.23  0.15 -0.27 -0.26 -0.34 -0.31 -0.26 -0.15 -0.28 -0.16 -0.28  0.14  0.47  0.11  0.06  0.09  0.20 -0.15 -0.16  0.39  0.03 -0.06 -0.11  0.77 -0.05 -0.08  0.06 -0.23 -0.22 -0.20 -0.23  0.06  0.03  0.08  0.24  0.05  0.48  0.49  0.47  0.44  0.18  0.15  0.13  0.11 -0.05  0.07  0.13  0.09 -0.04  0.01  0.07 -0.48  0.17  0.26 -0.27  0.04  0.00 -0.49  0.07 -0.08  0.01  0.20  0.12 -0.17 -0.16 -0.15 -0.20 -0.21 -0.20 -0.23  0.34 -0.10 -0.08  0.07  0.04  0.01 -0.01 -0.46 -0.48 -0.27  0.04  0.04  0.08  0.05  0.04  0.05  0.08  0.04  0.06  0.06  0.08  0.04  0.03  0.08  0.05  0.08  0.06  0.03  0.05 -0.04  0.05  0.03  0.08  0.05  0.08  0.02  0.06 
x14:   0.01  0.02  0.09 -0.05 -0.06 -0.10 -0.61  0.05  0.14 -0.27 -0.23 -0.41 -0.52 -0.32  1.00 -0.11 -0.11 -0.29 -0.84 -0.16  0.08  0.94  0.14  0.66 -0.23 -0.03 -0.03 -0.17 -0.05  0.05 -0.11 -0.03 -0.06  0.10  0.20  0.27 -0.22  0.13 -0.61  0.01  0.09  0.15 -0.14  0.19 -0.22  0.06  0.13 -0.57 -0.26 -0.24 -0.24 -0.20  0.01  0.02 -0.05  0.01 -0.11 -0.18 -0.20 -0.24 -0.26 -0.21 -0.21 -0.21 -0.21  0.17 -0.16 -0.30 -0.35 -0.59 -0.65 -0.40  0.05 -0.25  0.26 -0.16  0.04 -0.28  0.06  0.02  0.26 -0.42  0.15  0.05 -0.16 -0.15 -0.13 -0.26 -0.23 -0.22 -0.23  0.07 -0.22  0.20 -0.03 -0.04 -0.14  0.15  0.39  0.37  0.26 -0.02  0.05 -0.02  0.05 -0.04  0.03 -0.05  0.05  0.00  0.00 -0.03 -0.07 -0.06 -0.06 -0.01 -0.03 -0.02 -0.12  0.02  0.01 -0.03 -0.03 -0.02 -0.04 -0.01  0.04  0.00 
x15:  -0.08  0.07 -0.05 -0.01  0.00  0.99 -0.05  0.22 -0.30  0.20  0.15 -0.02  0.11  0.05 -0.11  1.00  0.33 -0.06  0.03 -0.16 -0.12 -0.13  0.15 -0.08 -0.07 -0.02  0.07 -0.03  0.00 -0.07 -0.01 -0.05  0.94  0.12  0.01  0.03  0.02  0.12  0.02 -0.11  0.01 -0.05  0.00  0.22  0.25  0.25  0.24  0.09 -0.25 -0.26 -0.20 -0.25 -0.04 -0.09  0.88  0.32  0.74  0.13  0.15  0.17  0.20  0.21  0.22  0.22  0.23 -0.18  0.19  0.19  0.13 -0.03  0.01  0.02 -0.23  0.20  0.21 -0.20  0.89 -0.07 -0.24  0.32 -0.11 -0.06  0.02  0.09  0.02  0.03  0.05  0.03  0.03  0.04  0.01  0.12  0.10 -0.04  0.81  0.65  0.20 -0.14 -0.11  0.01 -0.09  0.77  0.43  0.51  0.46  0.80  0.49  0.58  0.43  0.57  0.51  0.53  0.46  0.35  0.60  0.70  0.65  0.54  0.69  0.26  0.30  0.83  0.79  0.55  0.48  0.48  0.42  0.16 
x16:  -0.10  0.01  0.09  0.05  0.03  0.24 -0.02  0.00 -0.05  0.27  0.04 -0.24 -0.09 -0.14 -0.11  0.33  1.00  0.34  0.26 -0.37  0.23 -0.19 -0.22  0.07  0.33  0.34  0.35  0.28  0.13  0.10  0.19  0.26  0.17 -0.32 -0.27 -0.25  0.21 -0.23  0.29 -0.11 -0.05 -0.31  0.23 -0.06  0.08 -0.02 -0.04  0.05  0.10  0.10  0.18  0.04 -0.07 -0.06  0.17  0.01  0.20 -0.04 -0.02  0.01  0.02  0.23  0.23  0.25  0.25 -0.16  0.13  0.06  0.05  0.07  0.15 -0.06  0.07  0.03 -0.02 -0.02  0.20  0.17  0.04  0.02 -0.30 -0.02 -0.41 -0.21  0.33  0.33  0.31  0.41  0.40  0.39  0.39 -0.02  0.23 -0.03  0.16  0.13  0.29 -0.23  0.10  0.07 -0.07  0.12  0.21  0.29  0.23  0.14  0.21  0.25  0.21  0.27  0.27  0.19  0.16  0.12  0.21  0.14  0.27  0.23  0.08  0.33  0.34  0.16  0.13  0.28  0.20  0.26  0.20  0.03 
x17:  -0.13 -0.03  0.27  0.08  0.05 -0.10  0.21 -0.36  0.31  0.36 -0.14 -0.30 -0.34 -0.33 -0.29 -0.06  0.34  1.00  0.62 -0.05  0.76 -0.42 -0.66 -0.07  0.98  0.89  0.84  0.67  0.29  0.46  0.42  0.64 -0.24 -0.79 -0.60 -0.68  0.68 -0.65  0.64 -0.05  0.03 -0.62  0.73 -0.56 -0.20 -0.54 -0.56  0.11  0.73  0.72  0.72  0.63 -0.15 -0.04 -0.18 -0.49 -0.01 -0.18 -0.20 -0.18 -0.20  0.11  0.11  0.13  0.12 -0.03 -0.08 -0.16 -0.08  0.31  0.38 -0.09  0.62 -0.26 -0.61  0.45 -0.19  0.39  0.59 -0.36 -0.21  0.16 -0.73 -0.41  0.80  0.79  0.78  0.81  0.85  0.86  0.86 -0.23  0.38 -0.03 -0.12 -0.08  0.23 -0.25  0.25 -0.01 -0.05 -0.09 -0.10 -0.11 -0.11 -0.10 -0.12 -0.11 -0.10 -0.10 -0.09 -0.15 -0.08  0.00 -0.15 -0.10 -0.12 -0.09 -0.05 -0.02  0.25 -0.12 -0.08 -0.10 -0.09 -0.13 -0.07 -0.20 
x18:   0.01  0.00  0.09  0.06  0.05  0.00  0.44 -0.23  0.12  0.31  0.02  0.12  0.26  0.10 -0.84  0.03  0.26  0.62  1.00  0.07  0.31 -0.90 -0.55 -0.52  0.57  0.38  0.35  0.41  0.16  0.12  0.27  0.30 -0.11 -0.52 -0.46 -0.54  0.43 -0.51  0.86  0.00 -0.10 -0.37  0.38 -0.38  0.06 -0.30 -0.35  0.37  0.55  0.54  0.56  0.46  0.10  0.16 -0.10 -0.29  0.04  0.06  0.06  0.10  0.11  0.15  0.15  0.16  0.16 -0.06  0.01  0.04  0.11  0.47  0.59  0.14  0.23 -0.02 -0.42  0.29 -0.13  0.41  0.18 -0.26 -0.34  0.40 -0.50 -0.29  0.40  0.38  0.35  0.54  0.51  0.50  0.51 -0.26  0.27 -0.16 -0.07 -0.05  0.15 -0.20 -0.19 -0.30 -0.24 -0.05 -0.11 -0.05 -0.11 -0.04 -0.10 -0.04 -0.11 -0.05 -0.05 -0.09 -0.01  0.02 -0.07 -0.06 -0.04 -0.06  0.06 -0.03  0.08 -0.05 -0.04 -0.05 -0.03 -0.06 -0.08 -0.14 
x19:   0.09 -0.06 -0.14  0.01  0.01 -0.13  0.18 -0.15  0.10 -0.09  0.08  0.27  0.12  0.14 -0.16 -0.16 -0.37 -0.05  0.07  1.00  0.01 -0.12 -0.03 -0.28 -0.04 -0.07 -0.08 -0.12 -0.05 -0.05 -0.09 -0.12 -0.10  0.14  0.09 -0.03  0.10 -0.02 -0.01 -0.15  0.15 -0.05  0.07 -0.18 -0.07 -0.16 -0.17  0.10  0.18  0.17  0.13  0.17  0.06  0.04 -0.14 -0.18 -0.12  0.09  0.08  0.09  0.10 -0.08 -0.09 -0.09 -0.09  0.01 -0.01  0.05  0.07  0.12  0.09  0.12  0.08  0.04 -0.13  0.06 -0.12 -0.03  0.10 -0.07  0.10  0.25  0.16  0.06 -0.11 -0.10 -0.09 -0.17 -0.17 -0.16 -0.17 -0.08 -0.13 -0.16 -0.10 -0.09 -0.13  0.08 -0.14 -0.16  0.01 -0.09 -0.15 -0.16 -0.15 -0.09 -0.14 -0.14 -0.15 -0.14 -0.16 -0.15 -0.07 -0.07 -0.13 -0.10 -0.16 -0.14 -0.01 -0.27 -0.24 -0.10 -0.09 -0.16 -0.10 -0.16 -0.13 -0.04 
x20:   0.06  0.03  0.37  0.05  0.02 -0.15 -0.16 -0.49  0.60  0.17 -0.42 -0.28 -0.36 -0.22  0.08 -0.12  0.23  0.76  0.31  0.01  1.00 -0.09 -0.75  0.20  0.81  0.81  0.72  0.50  0.20  0.39  0.31  0.55 -0.27 -0.72 -0.69 -0.78  0.74 -0.73  0.41 -0.13  0.31 -0.67  0.77 -0.58 -0.17 -0.63 -0.62 -0.34  0.70  0.74  0.71  0.61 -0.03  0.13 -0.25 -0.63 -0.13 -0.14 -0.20 -0.22 -0.28 -0.10 -0.12 -0.12 -0.14  0.24 -0.35 -0.51 -0.45 -0.15 -0.03 -0.50  0.59 -0.57 -0.49  0.35 -0.18  0.34  0.52 -0.45 -0.14 -0.01 -0.75 -0.51  0.56  0.56  0.56  0.57  0.60  0.61  0.59 -0.26  0.07 -0.06 -0.14 -0.12 -0.04 -0.14  0.25 -0.05 -0.07 -0.11 -0.12 -0.14 -0.12 -0.13 -0.14 -0.15 -0.12 -0.10 -0.10 -0.21 -0.15 -0.05 -0.23 -0.13 -0.14 -0.12 -0.07 -0.11  0.16 -0.14 -0.11 -0.13 -0.12 -0.15 -0.08 -0.30 
x21:   0.06  0.04  0.09 -0.05 -0.05 -0.12 -0.45  0.11  0.07 -0.37 -0.16 -0.26 -0.42 -0.23  0.94 -0.13 -0.19 -0.42 -0.90 -0.12 -0.09  1.00  0.31  0.65 -0.37 -0.23 -0.23 -0.29 -0.12 -0.04 -0.19 -0.15 -0.05  0.24  0.36  0.45 -0.39  0.30 -0.73  0.08  0.05  0.32 -0.31  0.18 -0.19  0.07  0.13 -0.41 -0.33 -0.32 -0.34 -0.25 -0.02 -0.03 -0.04  0.10 -0.15 -0.20 -0.21 -0.26 -0.28 -0.26 -0.25 -0.26 -0.26  0.14 -0.12 -0.16 -0.20 -0.45 -0.54 -0.27  0.03 -0.17  0.24 -0.15  0.01 -0.28  0.06  0.14  0.36 -0.46  0.30  0.15 -0.31 -0.30 -0.28 -0.42 -0.38 -0.37 -0.37  0.10 -0.28  0.25 -0.04 -0.06 -0.20  0.28  0.44  0.43  0.36 -0.04  0.03 -0.03  0.03 -0.05  0.01 -0.07  0.03 -0.03 -0.02 -0.02 -0.08 -0.10 -0.06 -0.03 -0.05 -0.03 -0.13 -0.02 -0.06 -0.04 -0.05 -0.04 -0.07 -0.02  0.01  0.04 
