Output for File: data/1990 US Census/Dataset.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  
x10:   0.07  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 -1.00  1.00  0.02  0.16 -0.13 -0.09 -0.13 -0.13 -0.17 -0.18 -0.27  0.42 -0.21  0.24  0.01  0.26 -0.10  0.08 -0.35  0.14  0.50  0.13 -0.01  0.22 -0.19  0.34 -0.27 -0.13  0.00 -0.22 -0.28 -0.08  0.07  0.27  0.00  0.16 -0.13 -0.08 -0.13 -0.12  0.41 -0.41 -0.18  0.18 -0.11 -0.23  0.34 -0.13  0.01  0.10 -0.10  0.00  0.00  0.00  0.00  0.00  0.00  0.08  0.02  0.01 -0.09 -0.06  0.02  0.01  0.00  0.16 -0.13 -0.08 -0.13  0.04  0.14 -0.14 -0.08 -0.12 -0.04  0.18 -0.11 -0.08 -0.13  0.12 -0.12  0.40  0.31 -0.04  0.04  0.03  0.10 -0.06  0.23 -0.23 -0.30  0.23 -0.21  0.13 -0.14 -0.25 -0.20 -0.30  0.12 -0.02 -0.10 -0.01 -0.09 -0.09 -0.09 -0.08 -0.08 -0.04 -0.06 -0.03 -0.07 -0.08 -0.05 -0.03 -0.15 -0.14 -0.14  0.05 -0.15 -0.04 -0.07 -0.04 -0.07 -0.06 -0.06 -0.01  0.07 -0.01  0.12 
x11:   0.15 -0.01 -0.07 -0.07 -0.07  0.00  0.00  0.00  0.00 -0.02  0.02  1.00 -0.73 -0.52 -0.21 -0.28 -0.23 -0.33 -0.27  0.18  0.23 -0.36  0.58 -0.41  0.00  0.04 -0.39  0.56 -0.50  0.09 -0.01 -0.06  0.16 -0.07  0.11 -0.10 -0.01 -0.01 -0.51 -0.36 -0.02  0.39  0.10  0.99 -0.73 -0.52 -0.21 -0.27 -0.22  0.15 -0.15 -0.28  0.28  0.30 -0.50  0.11 -0.01 -0.07  0.02 -0.02  0.28 -0.28  0.00  0.00  0.00  0.00 -0.08  0.15  0.00  0.08 -0.04 -0.10  0.04  0.99 -0.73 -0.52 -0.21 -0.27  0.96 -0.72 -0.51 -0.21 -0.26  0.90 -0.71 -0.48 -0.19 -0.26  0.22 -0.22  0.08  0.07 -0.35  0.35  0.35  0.32  0.20  0.50 -0.50 -0.42  0.42 -0.45  0.29 -0.37 -0.37 -0.35 -0.42 -0.01  0.01  0.00 -0.03  0.03  0.01  0.00  0.01  0.00 -0.07 -0.08 -0.01 -0.05  0.00 -0.01  0.02  0.05  0.04  0.01 -0.03 -0.01 -0.12 -0.11 -0.06 -0.09 -0.04  0.02  0.03 -0.04  0.02  0.04 
x12:  -0.09 -0.01  0.06  0.06  0.06  0.00  0.00  0.00  0.00 -0.16  0.16 -0.73  1.00 -0.07 -0.02 -0.02 -0.03  0.10  0.20 -0.14 -0.08  0.27 -0.42  0.48  0.09 -0.02  0.34 -0.48  0.58  0.08  0.04 -0.03 -0.05  0.09  0.03 -0.02 -0.03 -0.04  0.19  0.13 -0.01 -0.20  0.02 -0.73  0.99 -0.06 -0.02 -0.02 -0.03  0.00  0.00  0.04 -0.04 -0.14  0.14  0.03 -0.03  0.06  0.04 -0.04 -0.20  0.20  0.00  0.00  0.00  0.00  0.09 -0.09  0.01 -0.11 -0.01  0.07 -0.02 -0.73  0.99 -0.06 -0.02 -0.02 -0.66  0.97 -0.06 -0.02 -0.03 -0.73  0.97 -0.07 -0.02 -0.03  0.03 -0.03  0.04  0.01  0.09 -0.09 -0.13 -0.09 -0.06 -0.14  0.14  0.11 -0.09  0.10 -0.12  0.16  0.07  0.17  0.11  0.06  0.02 -0.06  0.00 -0.09 -0.08 -0.07 -0.07 -0.05  0.03 -0.03 -0.04 -0.04 -0.07 -0.05 -0.06 -0.12 -0.12 -0.10  0.03 -0.09  0.09  0.00  0.01  0.01 -0.02 -0.07 -0.06  0.07 -0.03  0.04 
x13:  -0.09  0.02 -0.02 -0.02 -0.02  0.00  0.00  0.00  0.00  0.13 -0.13 -0.52 -0.07  1.00 -0.03 -0.02 -0.02  0.33  0.10 -0.12 -0.16  0.16 -0.33  0.03 -0.03 -0.01  0.14 -0.25  0.01 -0.13 -0.04  0.10 -0.13 -0.02 -0.10  0.10 -0.02  0.06  0.40  0.31  0.01 -0.30 -0.10 -0.53 -0.06  0.99 -0.02 -0.02 -0.02 -0.14  0.14  0.24 -0.24 -0.25  0.44 -0.10 -0.02 -0.02 -0.12  0.12 -0.08  0.08  0.00  0.00  0.00  0.00 -0.06 -0.13 -0.02  0.04  0.00  0.11 -0.02 -0.53 -0.06  0.99 -0.02 -0.02 -0.57 -0.06  0.99 -0.02 -0.02 -0.38 -0.07  0.94 -0.02 -0.02  0.02 -0.02 -0.13 -0.07  0.33 -0.33 -0.31 -0.33 -0.14 -0.44  0.44  0.36 -0.41  0.44 -0.20  0.24  0.35  0.21  0.36  0.07 -0.03 -0.06 -0.01 -0.08 -0.07 -0.06 -0.06 -0.08 -0.09  0.03 -0.09 -0.06 -0.06 -0.08 -0.10 -0.07 -0.06 -0.03 -0.02 -0.02 -0.09  0.01 -0.08 -0.07 -0.08 -0.09 -0.04  0.02 -0.05 -0.07 
x14:  -0.10  0.00  0.07  0.07  0.07  0.00  0.00  0.00  0.00  0.09 -0.09 -0.21 -0.02 -0.03  1.00  0.09  0.11  0.01  0.06  0.12 -0.13  0.14 -0.07  0.01 -0.10 -0.03  0.14 -0.02  0.01 -0.16  0.02 -0.01 -0.03  0.04 -0.13  0.06  0.17 -0.03  0.12  0.07  0.02 -0.02 -0.07 -0.20 -0.02 -0.02  0.99  0.08  0.10 -0.13  0.13  0.21 -0.21 -0.03  0.12 -0.13  0.17  0.07  0.09 -0.09 -0.13  0.13  0.00  0.00  0.00  0.00  0.09  0.03  0.01 -0.01  0.00 -0.09  0.02 -0.20 -0.02 -0.02  0.99  0.08 -0.21 -0.03 -0.02  0.97  0.07 -0.16 -0.01 -0.02  0.90  0.09 -0.10  0.10 -0.10 -0.06  0.08 -0.08 -0.03  0.02 -0.08 -0.13  0.13  0.15 -0.12  0.13 -0.04  0.06  0.16  0.07  0.15 -0.25 -0.05  0.25  0.10  0.32  0.33  0.34  0.33  0.34  0.31  0.28  0.32  0.35  0.33  0.32  0.31  0.30  0.31  0.32  0.02  0.33  0.30  0.27  0.32  0.31  0.30  0.30  0.12 -0.09  0.11 -0.10 
x15:  -0.04  0.02  0.07  0.07  0.06  0.00  0.00  0.00  0.00  0.13 -0.13 -0.28 -0.02 -0.02  0.09  1.00  0.85  0.21  0.15 -0.08 -0.16  0.09 -0.17  0.06 -0.09 -0.05  0.06 -0.12  0.13 -0.15 -0.01  0.08 -0.13  0.02 -0.16  0.13  0.04  0.05  0.32  0.24  0.04 -0.18 -0.14 -0.25 -0.01 -0.02  0.09  0.98  0.82 -0.13  0.13  0.18 -0.18 -0.14  0.36 -0.16  0.04  0.06  0.00  0.00 -0.17  0.17  0.00  0.00  0.00  0.00  0.08 -0.03 -0.01 -0.06  0.15 -0.01 -0.04 -0.25 -0.01 -0.02  0.09  0.98 -0.22 -0.02 -0.02  0.09  0.94 -0.25 -0.02 -0.02  0.08  0.95 -0.82  0.82 -0.08 -0.10  0.24 -0.24 -0.24 -0.19 -0.16 -0.36  0.36  0.32 -0.28  0.30 -0.25  0.31  0.26  0.31  0.32 -0.06  0.01  0.07  0.03  0.04  0.04  0.04  0.04  0.05  0.07  0.11  0.07  0.14  0.05  0.08  0.05  0.05  0.06  0.07  0.02  0.06  0.11  0.14  0.11  0.19  0.14  0.07  0.06  0.00  0.05 -0.01 
x16:  -0.03  0.01  0.07  0.07  0.06  0.00  0.00  0.00  0.00  0.13 -0.13 -0.23 -0.03 -0.02  0.11  0.85  1.00  0.20  0.15 -0.05 -0.18  0.09 -0.18  0.07 -0.10 -0.04  0.08 -0.12  0.13 -0.18  0.01  0.09 -0.14  0.01 -0.18  0.15  0.05  0.06  0.33  0.25  0.03 -0.17 -0.15 -0.21 -0.03 -0.02  0.11  0.86  0.99 -0.14  0.14  0.19 -0.19 -0.13  0.37 -0.18  0.05  0.06 -0.02  0.02 -0.15  0.15  0.00  0.00  0.00  0.00  0.07 -0.03 -0.01 -0.04  0.16 -0.01 -0.01 -0.21 -0.03 -0.02  0.11  0.86 -0.19 -0.03 -0.02  0.11  0.84 -0.21 -0.03 -0.02  0.10  0.80 -0.99  0.99 -0.09 -0.10  0.27 -0.27 -0.25 -0.21 -0.19 -0.37  0.37  0.34 -0.30  0.32 -0.24  0.30  0.28  0.30  0.34 -0.09  0.01  0.10  0.04  0.07  0.08  0.08  0.08  0.08  0.10  0.14  0.10  0.18  0.09  0.12  0.08  0.09  0.09  0.10  0.02  0.10  0.14  0.17  0.14  0.22  0.18  0.11  0.06  0.00  0.06 -0.01 
x17:  -0.03  0.00 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.17 -0.17 -0.33  0.10  0.33  0.01  0.21  0.20  1.00  0.13 -0.13 -0.56 -0.17 -0.40  0.00 -0.31 -0.16 -0.12 -0.24  0.11 -0.42 -0.13  0.48 -0.47 -0.22 -0.40  0.43 -0.16  0.45  0.75  0.80  0.11 -0.60 -0.44 -0.33  0.11  0.33  0.01  0.21  0.20 -0.48  0.48  0.09 -0.09 -0.10  0.70 -0.40 -0.16 -0.02  0.13 -0.13 -0.09  0.09  0.00  0.00  0.00  0.00  0.03  0.01  0.04 -0.18  0.07  0.09 -0.18 -0.33  0.11  0.33  0.01  0.21 -0.34  0.11  0.32  0.03  0.21 -0.27  0.09  0.32 -0.01  0.20 -0.20  0.20 -0.50 -0.29  0.06 -0.06 -0.09 -0.16  0.04 -0.70  0.70  0.70 -0.61  0.63 -0.38  0.48  0.61  0.51  0.70  0.11  0.08 -0.14 -0.03 -0.18 -0.18 -0.19 -0.19 -0.19 -0.13 -0.04 -0.16 -0.08 -0.19 -0.15 -0.20 -0.11 -0.11 -0.10  0.03 -0.10 -0.10  0.00 -0.11 -0.04 -0.08 -0.15  0.03 -0.01  0.00 -0.05 
x18:   0.01  0.00  0.04  0.03  0.03  0.00  0.00  0.00  0.00  0.18 -0.18 -0.27  0.20  0.10  0.06  0.15  0.15  0.13  1.00 -0.32 -0.50  0.64 -0.56  0.07 -0.27 -0.14  0.65 -0.44  0.15 -0.33 -0.04 -0.23 -0.20  0.50 -0.24  0.14  0.26 -0.25  0.41  0.41  0.04 -0.40 -0.14 -0.26  0.20  0.10  0.06  0.15  0.15 -0.40  0.40  0.31 -0.31 -0.11  0.33 -0.24  0.26  0.03  0.19 -0.19 -0.32  0.32  0.00  0.00  0.00  0.00  0.19 -0.07  0.02 -0.18  0.04  0.02 -0.10 -0.26  0.20  0.10  0.06  0.15 -0.25  0.19  0.10  0.04  0.15 -0.22  0.18  0.09  0.07  0.14 -0.15  0.15 -0.31 -0.27  0.09 -0.09 -0.08  0.00 -0.05 -0.34  0.34  0.39 -0.31  0.32 -0.14  0.22  0.38  0.28  0.39 -0.03  0.12 -0.04  0.00 -0.04 -0.04 -0.04 -0.04 -0.04  0.01  0.00 -0.01  0.00 -0.04 -0.02 -0.06 -0.03 -0.02 -0.01  0.07 -0.01  0.07  0.07  0.06  0.08  0.05 -0.02  0.08 -0.05  0.02 -0.05 
x19:  -0.01  0.03  0.04  0.05  0.04  0.00  0.00  0.00  0.00  0.27 -0.27  0.18 -0.14 -0.12  0.12 -0.08 -0.05 -0.13 -0.32  1.00 -0.46 -0.10  0.21  0.02 -0.32  0.22 -0.10  0.39 -0.04 -0.44  0.23  0.24 -0.04 -0.29 -0.28  0.19  0.20  0.24 -0.16 -0.01  0.05  0.24 -0.19  0.19 -0.15 -0.12  0.09 -0.08 -0.05 -0.52  0.52  0.14 -0.14  0.38 -0.21 -0.28  0.20  0.04  0.03 -0.03  0.13 -0.13  0.00  0.00  0.00  0.00  0.02  0.17  0.01  0.10 -0.03 -0.23  0.04  0.19 -0.15 -0.12  0.09 -0.08  0.18 -0.15 -0.11  0.09 -0.09  0.16 -0.13 -0.13  0.09 -0.07  0.05 -0.05 -0.41 -0.23 -0.18  0.18  0.23  0.23  0.04  0.21 -0.21 -0.02  0.15 -0.17  0.15 -0.20  0.03 -0.10 -0.02 -0.45  0.13  0.38  0.05  0.39  0.39  0.39  0.40  0.39  0.35  0.29  0.33  0.32  0.39  0.36  0.38  0.45  0.45  0.44 -0.03  0.43  0.31  0.23  0.30  0.27  0.31  0.37  0.10 -0.16  0.12 -0.14 
x20:   0.02 -0.03 -0.05 -0.05 -0.04  0.00  0.00  0.00  0.00 -0.42  0.42  0.23 -0.08 -0.16 -0.13 -0.16 -0.18 -0.56 -0.50 -0.46  1.00 -0.25  0.45 -0.06  0.60  0.02 -0.29  0.15 -0.13  0.79 -0.07 -0.30  0.44  0.01  0.60 -0.48 -0.23 -0.27 -0.58 -0.72 -0.13  0.44  0.49  0.23 -0.08 -0.16 -0.12 -0.16 -0.17  0.93 -0.93 -0.36  0.36 -0.16 -0.47  0.60 -0.23 -0.04 -0.23  0.23  0.17 -0.17  0.00  0.00  0.00  0.00 -0.16 -0.09 -0.05  0.15 -0.04  0.11  0.14  0.23 -0.08 -0.16 -0.12 -0.16  0.23 -0.08 -0.17 -0.11 -0.16  0.18 -0.08 -0.15 -0.11 -0.15  0.17 -0.17  0.81  0.52  0.04 -0.04 -0.07 -0.08 -0.02  0.47 -0.47 -0.65  0.44 -0.45  0.20 -0.27 -0.63 -0.40 -0.65  0.30 -0.22 -0.18 -0.02 -0.17 -0.16 -0.16 -0.16 -0.15 -0.19 -0.19 -0.15 -0.20 -0.16 -0.17 -0.13 -0.26 -0.26 -0.26 -0.04 -0.26 -0.23 -0.22 -0.20 -0.23 -0.22 -0.17 -0.15  0.16 -0.10  0.17 
