Output for File: data/Communities and Crime Unnormalized/CommViolPredUnnormalizedData.txt
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  x138  x139  x140  x141  x142  x143  x144  x145  x146  
x65:  -0.05  0.20  0.14  0.13 -0.03 -0.12 -0.43  0.09  0.40 -0.42 -0.91 -0.04 -0.12 -0.03  0.13 -0.12 -0.14  0.00 -0.03  0.00  0.26  0.11 -0.31  0.22  0.05  0.07  0.03 -0.08 -0.02  0.03  0.01  0.08 -0.12 -0.22 -0.57 -0.42  0.11 -0.33  0.11  0.06  0.16 -0.11  0.14  0.08 -0.21 -0.03  0.03 -0.58  0.05  0.12  0.04  0.04  0.31  0.41 -0.09 -0.18 -0.17 -0.07 -0.12 -0.16 -0.23 -0.76 -0.78 -0.80 -0.82  1.00 -0.93 -0.69 -0.67 -0.49 -0.44 -0.57  0.30 -0.81 -0.33  0.31 -0.09  0.02  0.25 -0.10  0.15  0.03 -0.15 -0.38 -0.26 -0.26 -0.26 -0.21 -0.21 -0.22 -0.22 -0.18 -0.19 -0.26 -0.43 -0.01 -0.09 -0.09 -0.87  0.32  0.03 -0.06  0.03 -0.09 -0.08 -0.09 -0.08 -0.11 -0.08 -0.16 -0.08 -0.17 -0.13 -0.04 -0.37 -0.17 -0.25 -0.08 -0.15 -0.19  0.01 -0.50 -0.25 -0.11 -0.10 -0.17 -0.11 -0.11 -0.09 -0.09 -0.13 -0.09  0.01 -0.10 -0.28 -0.11 -0.15 -0.12 -0.16 -0.12  0.01 -0.13 -0.39 -0.11 -0.12 -0.24 -0.06 
x66:   0.04 -0.16 -0.11 -0.14  0.04  0.13  0.44 -0.04 -0.42  0.33  0.89  0.06  0.14  0.05 -0.14  0.13  0.11 -0.09  0.00 -0.02 -0.34 -0.10  0.37 -0.23 -0.14 -0.15 -0.11  0.01 -0.01 -0.07 -0.06 -0.15  0.13  0.26  0.64  0.49 -0.19  0.37 -0.12  0.03 -0.23  0.25 -0.24 -0.01  0.21  0.11  0.05  0.60 -0.13 -0.19 -0.11 -0.10 -0.25 -0.37  0.11  0.25  0.18  0.12  0.18  0.22  0.28  0.80  0.83  0.83  0.86 -0.93  1.00  0.75  0.72  0.50  0.43  0.60 -0.37  0.89  0.38 -0.34  0.10  0.00 -0.31  0.11 -0.17 -0.02  0.19  0.41  0.16  0.17  0.16  0.14  0.12  0.12  0.13  0.10  0.10  0.27  0.38 -0.03  0.10  0.10  0.86 -0.30 -0.08  0.07 -0.03  0.10  0.09  0.09  0.09  0.13  0.10  0.18  0.09  0.17  0.13  0.06  0.35  0.19  0.25  0.09  0.16  0.19 -0.01  0.54  0.22  0.13  0.11  0.17  0.12  0.12  0.10  0.11  0.20  0.11  0.04  0.11  0.34  0.12  0.18  0.14  0.19  0.13  0.02  0.14  0.41  0.13  0.14  0.29  0.05 
x67:   0.02 -0.05 -0.09 -0.19  0.01  0.11  0.67  0.18 -0.56  0.21  0.75  0.20  0.21  0.08 -0.27  0.12  0.07 -0.16  0.03  0.03 -0.49 -0.15  0.48 -0.24 -0.23 -0.31 -0.25 -0.09 -0.04 -0.14 -0.09 -0.22  0.13  0.36  0.56  0.50 -0.30  0.48 -0.16  0.05 -0.21  0.33 -0.34  0.01  0.21  0.12  0.07  0.87 -0.21 -0.28 -0.23 -0.17 -0.26 -0.39  0.12  0.39  0.13  0.09  0.14  0.17  0.23  0.54  0.57  0.58  0.60 -0.69  0.75  1.00  0.99  0.73  0.65  0.78 -0.27  0.87  0.21 -0.19  0.10  0.01 -0.20  0.30 -0.04  0.01  0.29  0.40  0.00  0.00 -0.01 -0.03 -0.01 -0.01  0.00  0.02 -0.02  0.28  0.28 -0.03  0.08  0.07  0.57 -0.12 -0.04  0.13  0.07  0.09  0.06  0.09  0.06  0.11  0.08  0.16  0.06  0.11  0.08  0.16  0.25  0.13  0.26  0.07  0.13  0.14  0.01  0.35  0.13  0.11  0.09  0.13  0.11  0.10  0.07  0.12  0.34  0.12  0.13  0.10  0.38  0.12  0.29  0.14  0.25  0.12  0.06  0.13  0.39  0.13  0.20  0.34  0.03 
x68:   0.03 -0.05 -0.09 -0.17  0.01  0.07  0.73  0.10 -0.48  0.21  0.73  0.21  0.18  0.07 -0.30  0.07  0.06 -0.09  0.09  0.06 -0.43 -0.18  0.41 -0.23 -0.17 -0.27 -0.23 -0.06 -0.03 -0.11 -0.07 -0.19  0.09  0.29  0.53  0.44 -0.27  0.42 -0.12  0.07 -0.22  0.31 -0.31 -0.08  0.14  0.03 -0.02  0.90 -0.10 -0.17 -0.13 -0.06 -0.26 -0.38  0.08  0.29  0.10  0.06  0.10  0.13  0.18  0.50  0.53  0.54  0.56 -0.67  0.72  0.99  1.00  0.80  0.71  0.81 -0.17  0.85  0.10 -0.11  0.04  0.05 -0.10  0.24 -0.04  0.07  0.23  0.36  0.02  0.02  0.00 -0.02  0.02  0.02  0.03  0.04  0.02  0.23  0.28 -0.06  0.04  0.05  0.54 -0.11 -0.02  0.12  0.07  0.05  0.02  0.05  0.02  0.07  0.03  0.10  0.02  0.06  0.03  0.10  0.22  0.09  0.20  0.04  0.07  0.09  0.00  0.29  0.08  0.06  0.06  0.07  0.06  0.05  0.03  0.08  0.26  0.06  0.07  0.07  0.29  0.08  0.22  0.08  0.17  0.07 -0.01  0.09  0.31  0.09  0.15  0.26  0.03 
x69:   0.06 -0.12 -0.07 -0.04  0.03 -0.01  0.87 -0.09 -0.21  0.21  0.54  0.15  0.06 -0.06 -0.56 -0.01  0.09  0.29  0.46  0.10 -0.16 -0.45  0.09 -0.31  0.16 -0.04 -0.05  0.12  0.04  0.00  0.06  0.01 -0.01 -0.07  0.23  0.13 -0.11  0.13  0.23  0.14 -0.30  0.13 -0.12 -0.38 -0.12 -0.28 -0.34  0.93  0.32  0.24  0.23  0.31 -0.24 -0.30 -0.01 -0.02  0.03 -0.11 -0.09 -0.06 -0.01  0.29  0.32  0.34  0.36 -0.49  0.50  0.73  0.80  1.00  0.92  0.79  0.25  0.58 -0.39  0.26 -0.07  0.23  0.31  0.07 -0.05  0.28 -0.04  0.17  0.16  0.14  0.12  0.03  0.22  0.23  0.23  0.16  0.25  0.02  0.30 -0.09 -0.03 -0.01  0.38 -0.05  0.09  0.10  0.08 -0.02 -0.11 -0.02 -0.11 -0.02 -0.09 -0.05 -0.11 -0.10 -0.12 -0.04  0.12  0.01  0.04 -0.03 -0.09 -0.05 -0.01  0.05 -0.03 -0.05 -0.02 -0.09 -0.06 -0.09 -0.09 -0.01  0.02 -0.05 -0.15 -0.01  0.00 -0.01 -0.02 -0.03 -0.11 -0.04 -0.27  0.00  0.06  0.00  0.01 -0.02  0.05 
x70:   0.05 -0.16 -0.05  0.08  0.03  0.01  0.80 -0.14 -0.12  0.19  0.45  0.16  0.11 -0.02 -0.63  0.02  0.16  0.35  0.58  0.08 -0.04 -0.54 -0.02 -0.38  0.25  0.03  0.00  0.16  0.05  0.02  0.10  0.06  0.00 -0.17  0.12  0.00  0.00  0.04  0.36  0.14 -0.21  0.04 -0.02 -0.45 -0.03 -0.36 -0.41  0.89  0.39  0.33  0.31  0.37 -0.19 -0.22  0.01 -0.07  0.04 -0.10 -0.09 -0.07 -0.04  0.26  0.28  0.30  0.31 -0.44  0.43  0.65  0.71  0.92  1.00  0.57  0.26  0.46 -0.39  0.27 -0.06  0.34  0.25  0.03 -0.10  0.22 -0.18  0.10  0.20  0.17  0.15  0.04  0.27  0.27  0.27  0.17  0.27 -0.07  0.27 -0.04 -0.01  0.00  0.35  0.01  0.13  0.10  0.11  0.00 -0.10  0.00 -0.10  0.00 -0.09 -0.04 -0.10 -0.07 -0.09 -0.02  0.13  0.01  0.06 -0.01 -0.07 -0.02 -0.02  0.10  0.07 -0.03  0.00 -0.06 -0.06 -0.08 -0.08  0.01 -0.06 -0.04 -0.21  0.01 -0.03  0.00 -0.11 -0.01 -0.21 -0.02 -0.32  0.01  0.06  0.01 -0.03 -0.11  0.04 
x71:   0.02 -0.01 -0.11 -0.28  0.01  0.03  0.72  0.12 -0.47  0.23  0.66  0.21  0.17  0.05 -0.36  0.02 -0.05 -0.10  0.13  0.10 -0.51 -0.25  0.39 -0.24 -0.21 -0.31 -0.26 -0.07 -0.03 -0.14 -0.09 -0.21  0.04  0.30  0.48  0.43 -0.35  0.39 -0.08  0.06 -0.33  0.33 -0.38 -0.01 -0.01  0.11  0.05  0.78 -0.09 -0.18 -0.15 -0.06 -0.23 -0.34  0.03  0.25  0.06  0.05  0.11  0.15  0.21  0.40  0.44  0.45  0.47 -0.57  0.60  0.78  0.81  0.79  0.57  1.00 -0.16  0.74 -0.02 -0.03  0.00 -0.05 -0.03  0.21  0.00  0.24  0.31  0.34 -0.01 -0.02 -0.04 -0.07  0.02  0.01  0.01 -0.01  0.04  0.23  0.30 -0.10  0.00  0.02  0.43 -0.19 -0.17 -0.04 -0.05  0.01 -0.03  0.01 -0.03  0.02 -0.01  0.04 -0.03 -0.01 -0.03  0.04  0.15  0.06  0.11  0.01  0.00  0.03  0.02  0.12 -0.09  0.01  0.01  0.00  0.03  0.01 -0.01  0.04  0.24  0.02  0.12  0.03  0.20  0.04  0.24  0.04  0.20  0.02  0.00  0.04  0.21  0.04  0.16  0.26  0.03 
x72:   0.07 -0.12  0.03  0.25  0.03 -0.16  0.10 -0.38  0.51 -0.10 -0.31 -0.30 -0.55 -0.45  0.03 -0.15  0.08  0.62  0.25  0.07  0.60  0.00 -0.53  0.20  0.58  0.46  0.38  0.29  0.12  0.29  0.22  0.41 -0.18 -0.64 -0.42 -0.45  0.25 -0.45  0.30  0.08 -0.07 -0.31  0.35 -0.55 -0.59 -0.61 -0.59  0.02  0.73  0.71  0.64  0.68  0.00  0.09 -0.16 -0.61 -0.13 -0.42 -0.48 -0.50 -0.53 -0.41 -0.42 -0.40 -0.40  0.30 -0.37 -0.27 -0.17  0.25  0.26 -0.16  1.00 -0.44 -0.79  0.64 -0.18  0.22  0.98 -0.25  0.11  0.18 -0.51 -0.32  0.20  0.19  0.18  0.11  0.29  0.31  0.31  0.23  0.35 -0.35 -0.07 -0.05 -0.15 -0.11 -0.28  0.19  0.54  0.29  0.31 -0.14 -0.20 -0.13 -0.20 -0.15 -0.19 -0.26 -0.20 -0.28 -0.28 -0.25 -0.17 -0.14 -0.27 -0.13 -0.29 -0.25 -0.04 -0.42 -0.18 -0.19 -0.14 -0.30 -0.21 -0.26 -0.18 -0.15 -0.40 -0.21 -0.45 -0.14 -0.49 -0.16 -0.43 -0.20 -0.47 -0.20 -0.42 -0.16 -0.40 -0.15 -0.28 -0.51  0.03 
x73:   0.02 -0.05 -0.12 -0.28  0.01  0.12  0.54  0.13 -0.59  0.30  0.86  0.17  0.25  0.13 -0.22  0.12  0.04 -0.23 -0.01  0.02 -0.53 -0.15  0.48 -0.27 -0.29 -0.31 -0.25 -0.10 -0.04 -0.15 -0.11 -0.25  0.14  0.41  0.65  0.56 -0.30  0.46 -0.19  0.02 -0.24  0.34 -0.36  0.12  0.24  0.25  0.19  0.70 -0.27 -0.34 -0.26 -0.22 -0.22 -0.37  0.11  0.39  0.16  0.16  0.23  0.27  0.34  0.70  0.73  0.74  0.76 -0.81  0.89  0.87  0.85  0.58  0.46  0.74 -0.44  1.00  0.42 -0.36  0.10 -0.06 -0.37  0.20 -0.16  0.07  0.33  0.43  0.02  0.03  0.02  0.03  0.00 -0.01 -0.01 -0.02 -0.03  0.33  0.32 -0.12  0.09  0.09  0.72 -0.26 -0.21  0.01 -0.05  0.09  0.07  0.08  0.07  0.11  0.09  0.17  0.07  0.13  0.10  0.12  0.28  0.18  0.25  0.08  0.14  0.16  0.02  0.43  0.10  0.13  0.09  0.14  0.14  0.12  0.08  0.12  0.33  0.13  0.17  0.11  0.42  0.13  0.32  0.14  0.30  0.13  0.12  0.14  0.44  0.13  0.21  0.40  0.03 
x74:  -0.05  0.06 -0.07 -0.21 -0.02  0.14 -0.29  0.23 -0.37  0.05  0.32  0.06  0.30  0.24  0.27  0.14 -0.04 -0.62 -0.43 -0.11 -0.49  0.25  0.43 -0.04 -0.56 -0.42 -0.35 -0.26 -0.09 -0.24 -0.19 -0.36  0.16  0.51  0.44  0.47 -0.32  0.41 -0.38 -0.08 -0.02  0.30 -0.39  0.56  0.43  0.56  0.57 -0.16 -0.64 -0.63 -0.54 -0.59  0.05 -0.03  0.13  0.46  0.12  0.28  0.34  0.35  0.38  0.40  0.40  0.39  0.39 -0.33  0.38  0.21  0.10 -0.39 -0.39 -0.02 -0.79  0.42  1.00 -0.77  0.19 -0.33 -0.79  0.18 -0.10 -0.17  0.41  0.29 -0.20 -0.18 -0.17 -0.10 -0.24 -0.27 -0.27 -0.22 -0.31  0.34  0.10  0.07  0.13  0.10  0.32 -0.22 -0.38 -0.13 -0.18  0.12  0.19  0.12  0.19  0.13  0.19  0.24  0.19  0.25  0.25  0.18  0.17  0.14  0.23  0.11  0.26  0.22  0.05  0.40  0.16  0.18  0.12  0.26  0.20  0.23  0.17  0.13  0.33  0.18  0.36  0.12  0.44  0.15  0.37  0.18  0.43  0.18  0.39  0.15  0.42  0.13  0.23  0.45 -0.02 
x75:   0.04 -0.04  0.09  0.19  0.02 -0.12  0.18 -0.16  0.29 -0.07 -0.30 -0.11 -0.29 -0.26 -0.17 -0.11 -0.02  0.46  0.29  0.07  0.36 -0.15 -0.33  0.07  0.42  0.31  0.27  0.19  0.08  0.21  0.14  0.26 -0.13 -0.43 -0.35 -0.35  0.19 -0.33  0.29  0.12 -0.05 -0.18  0.25 -0.41 -0.40 -0.41 -0.42  0.09  0.49  0.48  0.42  0.45 -0.02  0.04 -0.10 -0.35 -0.09 -0.26 -0.31 -0.33 -0.34 -0.35 -0.36 -0.35 -0.35  0.31 -0.34 -0.19 -0.11  0.26  0.27 -0.03  0.64 -0.36 -0.77  1.00 -0.16  0.24  0.63 -0.16  0.09  0.14 -0.32 -0.25  0.14  0.13  0.11  0.05  0.16  0.18  0.17  0.13  0.21 -0.32 -0.10 -0.03 -0.10 -0.07 -0.29  0.20  0.32  0.14  0.15 -0.09 -0.17 -0.09 -0.17 -0.11 -0.17 -0.22 -0.17 -0.23 -0.22 -0.14 -0.16 -0.11 -0.20 -0.08 -0.23 -0.20 -0.05 -0.31 -0.13 -0.16 -0.10 -0.24 -0.18 -0.20 -0.15 -0.10 -0.26 -0.16 -0.30 -0.09 -0.36 -0.12 -0.28 -0.15 -0.36 -0.16 -0.32 -0.12 -0.35 -0.11 -0.21 -0.34  0.01 
x76:  -0.04  0.03  0.01 -0.06 -0.04  0.92 -0.08  0.19 -0.21  0.03  0.08 -0.02  0.03  0.01  0.01  0.92  0.11 -0.10 -0.07 -0.07 -0.12 -0.01  0.12 -0.05 -0.10 -0.04  0.02 -0.05 -0.01 -0.05 -0.04 -0.07  0.92  0.14  0.05  0.08 -0.02  0.13 -0.07 -0.11  0.01 -0.02 -0.03  0.18  0.13  0.18  0.18  0.02 -0.21 -0.22 -0.18 -0.21 -0.05 -0.08  0.88  0.25  0.76  0.06  0.08  0.10  0.12  0.11  0.11  0.12  0.12 -0.09  0.10  0.10  0.04 -0.07 -0.06  0.00 -0.18  0.10  0.19 -0.16  1.00 -0.19 -0.18  0.24  0.03 -0.04  0.10  0.10 -0.05 -0.03 -0.01  0.04 -0.05 -0.05 -0.03  0.01 -0.05  0.08  0.04  0.03  0.80  0.72  0.10 -0.09 -0.06  0.02 -0.05  0.88  0.24  0.88  0.24  0.89  0.24  0.33  0.24  0.35  0.32  0.35  0.23  0.13  0.38  0.76  0.41  0.28  0.28  0.18  0.31  0.91  0.87  0.35  0.29  0.22  0.22  0.90  0.31  0.86  0.16  0.82  0.35  0.84  0.18  0.94  0.19  0.93  0.12  0.90  0.29  0.84  0.19  0.24 -0.04 
x77:  -0.04 -0.08  0.09  0.16 -0.04 -0.03  0.21 -0.20  0.15  0.18 -0.07  0.04  0.04  0.02 -0.31 -0.03  0.15  0.32  0.39 -0.03  0.29 -0.28 -0.18 -0.11  0.31  0.18  0.14  0.16  0.04  0.06  0.10  0.16 -0.05 -0.30 -0.14 -0.21  0.18 -0.26  0.34  0.30  0.04  0.00  0.18 -0.33  0.02 -0.28 -0.31  0.18  0.33  0.34  0.31  0.30  0.04  0.06 -0.04 -0.20  0.00 -0.03 -0.06 -0.06 -0.08  0.07  0.06  0.06  0.05  0.02  0.00  0.01  0.05  0.23  0.34 -0.05  0.22 -0.06 -0.33  0.24 -0.19  1.00  0.17 -0.18 -0.27 -0.12 -0.36 -0.20  0.21  0.19  0.16  0.05  0.20  0.20  0.19  0.11  0.17 -0.22 -0.10 -0.16 -0.02 -0.01  0.07  0.19  0.21  0.15  0.20 -0.04 -0.13 -0.03 -0.11 -0.05 -0.12 -0.09 -0.13 -0.09 -0.09 -0.10 -0.05  0.02 -0.09 -0.03 -0.09 -0.04 -0.12  0.10  0.06 -0.09 -0.03 -0.09 -0.10 -0.08 -0.09 -0.05 -0.22 -0.09 -0.28 -0.02 -0.17 -0.05 -0.27 -0.08 -0.37 -0.07 -0.26 -0.04 -0.11 -0.04 -0.12 -0.28 -0.04 
x78:   0.07 -0.11  0.02  0.19  0.03 -0.16  0.16 -0.35  0.45 -0.08 -0.25 -0.29 -0.56 -0.46  0.05 -0.16  0.05  0.59  0.21  0.09  0.52  0.03 -0.47  0.22  0.53  0.42  0.34  0.27  0.12  0.27  0.21  0.38 -0.18 -0.58 -0.36 -0.38  0.19 -0.39  0.24  0.08 -0.11 -0.27  0.30 -0.51 -0.62 -0.57 -0.56  0.07  0.69  0.65  0.59  0.64 -0.03  0.05 -0.16 -0.57 -0.13 -0.42 -0.47 -0.49 -0.50 -0.38 -0.38 -0.37 -0.36  0.25 -0.31 -0.20 -0.10  0.31  0.25 -0.03  0.98 -0.37 -0.79  0.63 -0.18  0.17  1.00 -0.22  0.14  0.22 -0.44 -0.27  0.19  0.17  0.17  0.10  0.27  0.30  0.30  0.24  0.34 -0.30 -0.05 -0.07 -0.15 -0.11 -0.25  0.15  0.51  0.28  0.30 -0.14 -0.20 -0.14 -0.20 -0.15 -0.19 -0.26 -0.20 -0.29 -0.29 -0.25 -0.16 -0.13 -0.27 -0.13 -0.30 -0.25 -0.03 -0.43 -0.21 -0.20 -0.14 -0.30 -0.21 -0.25 -0.18 -0.15 -0.36 -0.21 -0.41 -0.14 -0.46 -0.16 -0.38 -0.20 -0.41 -0.21 -0.39 -0.16 -0.38 -0.15 -0.25 -0.46  0.04 
x79:  -0.05  0.03  0.03 -0.04 -0.04  0.16  0.06  0.52 -0.49 -0.11  0.15  0.08  0.07  0.03  0.01  0.16  0.03 -0.33 -0.27 -0.08 -0.45  0.13  0.53  0.01 -0.35 -0.31 -0.22 -0.17 -0.06 -0.12 -0.12 -0.19  0.21  0.47  0.32  0.42 -0.30  0.55 -0.34  0.00  0.02  0.29 -0.30  0.36  0.21  0.35  0.36  0.22 -0.53 -0.55 -0.54 -0.49 -0.12 -0.21  0.21  0.59  0.05  0.02  0.03  0.04  0.05 -0.03 -0.02 -0.02 -0.01 -0.10  0.11  0.30  0.24  0.07  0.03  0.21 -0.25  0.20  0.18 -0.16  0.24 -0.18 -0.22  1.00  0.37 -0.28  0.44  0.32 -0.26 -0.25 -0.25 -0.18 -0.33 -0.30 -0.29 -0.12 -0.29  0.23 -0.11  0.21  0.13  0.06 -0.04  0.13  0.11  0.23  0.16  0.16  0.23  0.16  0.23  0.20  0.21  0.24  0.23  0.26  0.24  0.47  0.12  0.05  0.39  0.12  0.30  0.18  0.09  0.13  0.17  0.24  0.15  0.28  0.19  0.23  0.18  0.21  0.55  0.25  0.32  0.14  0.52  0.18  0.43  0.23  0.42  0.21  0.22  0.18  0.36  0.21  0.38  0.42 -0.05 
x80:   0.01  0.01  0.01  0.13  0.00 -0.02 -0.03  0.19 -0.03 -0.32 -0.12  0.03 -0.13 -0.06  0.24 -0.03 -0.30 -0.22 -0.35  0.12 -0.17  0.36  0.22  0.18 -0.22 -0.19 -0.18 -0.13 -0.05  0.00 -0.08 -0.09  0.02  0.25  0.21  0.28 -0.22  0.30 -0.37  0.04  0.10  0.23 -0.19  0.02 -0.08 -0.08 -0.03  0.00 -0.15 -0.16 -0.21 -0.12 -0.09 -0.11  0.03  0.13 -0.04 -0.16 -0.20 -0.22 -0.23 -0.30 -0.30 -0.31 -0.30  0.15 -0.17 -0.04 -0.04 -0.05 -0.10  0.00  0.11 -0.16 -0.10  0.09  0.03 -0.27  0.14  0.37  1.00 -0.33  0.31  0.22 -0.26 -0.25 -0.25 -0.19 -0.40 -0.34 -0.31 -0.05 -0.29  0.00 -0.22  0.35  0.00 -0.01 -0.29  0.35  0.37  0.30  0.28  0.02  0.02  0.02  0.02  0.01  0.00 -0.05  0.02 -0.03 -0.03  0.08 -0.05 -0.10  0.02  0.01 -0.03 -0.06  0.02 -0.16 -0.02  0.00  0.01 -0.03 -0.06 -0.02 -0.01  0.02  0.10  0.00  0.08  0.01 -0.01  0.00  0.09 -0.01  0.06 -0.02 -0.01 -0.01 -0.12  0.00  0.03  0.05 -0.02 
x81:   0.04  0.14 -0.09 -0.29  0.04 -0.06  0.24 -0.11  0.05  0.07  0.08  0.07  0.07  0.00 -0.38 -0.06  0.00  0.18  0.43  0.23  0.02 -0.47 -0.29 -0.30  0.12  0.04  0.03  0.08  0.08  0.00  0.08  0.05 -0.08 -0.17 -0.19 -0.27  0.12 -0.27  0.36 -0.17 -0.21 -0.26  0.11 -0.10 -0.25 -0.05 -0.08  0.14  0.32  0.28  0.30  0.26  0.11  0.13 -0.10 -0.24 -0.04  0.03  0.06  0.10  0.13 -0.04 -0.03 -0.02 -0.01  0.03 -0.02  0.01  0.07  0.28  0.22  0.24  0.18  0.07 -0.17  0.14 -0.04 -0.12  0.22 -0.28 -0.33  1.00 -0.13 -0.15  0.00  0.00  0.01  0.02  0.19  0.13  0.12 -0.05  0.16 -0.07  0.23 -0.36 -0.09 -0.05 -0.04 -0.33 -0.48 -0.46 -0.34 -0.08 -0.12 -0.08 -0.13 -0.08 -0.09 -0.09 -0.12 -0.14 -0.15 -0.15 -0.01 -0.03 -0.11 -0.07 -0.13 -0.12  0.08 -0.38 -0.36 -0.06 -0.08 -0.15 -0.03 -0.11 -0.10 -0.08 -0.12 -0.06 -0.06 -0.08 -0.20 -0.07 -0.10 -0.07 -0.07 -0.05 -0.03 -0.07 -0.13 -0.06 -0.09 -0.10  0.07 
x82:  -0.05  0.23 -0.02 -0.31 -0.02  0.05  0.01  0.49 -0.50 -0.25  0.30  0.21  0.18  0.14  0.14  0.03 -0.40 -0.70 -0.50  0.14 -0.75  0.30  0.70 -0.09 -0.71 -0.60 -0.51 -0.34 -0.14 -0.24 -0.26 -0.44  0.10  0.81  0.68  0.74 -0.51  0.67 -0.59  0.08 -0.07  0.57 -0.54  0.53  0.11  0.53  0.54  0.13 -0.69 -0.72 -0.73 -0.60 -0.05 -0.18  0.08  0.57  0.02  0.16  0.19  0.20  0.24 -0.04 -0.03 -0.04 -0.02 -0.15  0.19  0.29  0.23 -0.04 -0.18  0.31 -0.51  0.33  0.41 -0.32  0.10 -0.36 -0.44  0.44  0.31 -0.13  1.00  0.53 -0.54 -0.53 -0.52 -0.39 -0.67 -0.66 -0.66 -0.40 -0.65  0.22 -0.25  0.12  0.05  0.03 -0.10  0.16 -0.15  0.07  0.06  0.05  0.09  0.05  0.09  0.06  0.10  0.10  0.09  0.10  0.09  0.16  0.12 -0.03  0.18  0.05  0.11  0.07  0.03 -0.01 -0.15  0.09  0.05  0.11  0.09  0.12  0.07  0.08  0.44  0.11  0.45  0.05  0.33  0.08  0.50  0.10  0.52  0.09  0.44  0.06  0.18  0.07  0.25  0.47 -0.03 
x83:  -0.02  0.02  0.00 -0.09 -0.02  0.08  0.17  0.27 -0.38 -0.06  0.42  0.13  0.11  0.07  0.03  0.08 -0.19 -0.37 -0.27  0.07 -0.47  0.14  0.52 -0.12 -0.39 -0.35 -0.29 -0.10 -0.08 -0.13 -0.17 -0.24  0.12  0.51  0.59  0.56 -0.32  0.51 -0.35  0.04 -0.07  0.37 -0.34  0.20  0.14  0.22  0.22  0.30 -0.38 -0.42 -0.39 -0.33 -0.10 -0.21  0.11  0.38  0.09  0.08  0.09  0.10  0.13  0.18  0.20  0.20  0.21 -0.38  0.41  0.40  0.36  0.17  0.10  0.34 -0.32  0.43  0.29 -0.25  0.10 -0.20 -0.27  0.32  0.22 -0.15  0.53  1.00 -0.22 -0.21 -0.21 -0.15 -0.32 -0.30 -0.29 -0.13 -0.30  0.18  0.01  0.16  0.09  0.08  0.19  0.09  0.03  0.13  0.09  0.09  0.08  0.09  0.08  0.10  0.08  0.08  0.08  0.08  0.06  0.12  0.20  0.06  0.20  0.08  0.09  0.09  0.14  0.16  0.06  0.10  0.09  0.09  0.05  0.08  0.07  0.11  0.27  0.10  0.22  0.10  0.28  0.10  0.30  0.11  0.30  0.10  0.17  0.11  0.21  0.10  0.14  0.31 -0.04 
x84:   0.04 -0.31 -0.10  0.11  0.02  0.01  0.11 -0.26  0.09  0.51  0.05 -0.21 -0.17 -0.14 -0.12  0.02  0.31  0.78  0.35 -0.09  0.54 -0.27 -0.38 -0.07  0.80  0.78  0.78  0.44  0.18  0.34  0.30  0.50 -0.04 -0.50 -0.34 -0.45  0.59 -0.40  0.39 -0.12  0.07 -0.52  0.61 -0.37  0.06 -0.31 -0.35  0.05  0.43  0.42  0.47  0.35 -0.21 -0.16 -0.02 -0.25  0.06 -0.02 -0.01  0.01  0.00  0.40  0.40  0.41  0.40 -0.26  0.16  0.00  0.02  0.16  0.20 -0.01  0.20  0.02 -0.20  0.14 -0.05  0.21  0.19 -0.26 -0.26  0.00 -0.54 -0.22  1.00  0.99  0.96  0.74  0.82  0.88  0.88  0.68  0.86  0.02  0.57 -0.03  0.01  0.04  0.49 -0.37  0.11 -0.04 -0.10  0.00  0.00  0.00  0.00 -0.01 -0.01  0.00  0.00  0.01  0.01 -0.08  0.02  0.12 -0.03  0.00 -0.01  0.05 -0.04  0.23  0.33 -0.04  0.00  0.01 -0.01 -0.03  0.02 -0.02 -0.20 -0.05 -0.27  0.01 -0.06 -0.01 -0.22 -0.03 -0.22 -0.04 -0.33  0.00  0.02 -0.01 -0.10 -0.15  0.05 
